glossary,term_key,definition,tags,language,text,note,status
QYSEA · FIFISH Add-Ons,underwater-metal-detector,,category:Inspection,zh,金属探测仪,,approved
QYSEA · FIFISH Add-Ons,underwater-metal-detector,,category:Inspection,ja,水中金属探知機,,approved
QYSEA · FIFISH Add-Ons,underwater-metal-detector,,category:Inspection,es,Detector de metales submarino,,approved
QYSEA · FIFISH Add-Ons,underwater-metal-detector,,category:Inspection,ko,수중 금속 탐지기,,approved
QYSEA · FIFISH Add-Ons,underwater-metal-detector,,category:Inspection,ru,Подводный металлоискатель,,approved
QYSEA · FIFISH Add-Ons,external-lighting-mount,,category:Inspection,en,External Lighting Mount,,approved
QYSEA · FIFISH Add-Ons,external-lighting-mount,,category:Inspection,zh,固定支架,,approved
QYSEA · FIFISH Add-Ons,external-lighting-mount,,category:Inspection,ja,外付けLEDライトマウント,,approved
QYSEA · FIFISH Add-Ons,external-lighting-mount,,category:Inspection,es,Montura de luz externa,,approved
QYSEA · FIFISH Add-Ons,external-lighting-mount,,category:Inspection,ko,외부 조명 마운트,,approved
QYSEA · FIFISH Add-Ons,external-lighting-mount,,category:Inspection,ru,Крепление для подключения внешнего освещения,,approved
QYSEA · FIFISH Add-Ons,360-scanning-sonar,,category:Inspection,en,360° Scanning Sonar,,approved
QYSEA · FIFISH Add-Ons,360-scanning-sonar,,category:Inspection,zh,360°环扫声呐,,approved
QYSEA · FIFISH Add-Ons,360-scanning-sonar,,category:Inspection,ja,360度ｽｷｬﾆﾝｸﾞｲﾒｰｼﾞﾝｸﾞｿﾅｰ,,approved
QYSEA · FIFISH Add-Ons,360-scanning-sonar,,category:Inspection,es,Sonar de escaneo 360°,,approved
QYSEA · FIFISH Add-Ons,360-scanning-sonar,,category:Inspection,ko,360° 스캐닝 소나,,approved
QYSEA · FIFISH Add-Ons,360-scanning-sonar,,category:Inspection,ru,Сканирующий сонар 360°,,approved
QYSEA · FIFISH Add-Ons,side-scan-sonar,,category:Inspection,en,Side Scan Sonar,,approved
QYSEA · FIFISH Add-Ons,side-scan-sonar,,category:Inspection,zh,侧扫声呐,,approved
QYSEA · FIFISH Add-Ons,side-scan-sonar,,category:Inspection,ja,サイドスキャナー,,approved
QYSEA · FIFISH Add-Ons,side-scan-sonar,,category:Inspection,es,Sonar de barrido lateral,,approved
QYSEA · FIFISH Add-Ons,side-scan-sonar,,category:Inspection,ko,사이드 스캔 소나,,approved
QYSEA · FIFISH Add-Ons,side-scan-sonar,,category:Inspection,ru,Сонар бокового сканирования,,approved
QYSEA · FIFISH Add-Ons,hdmi-box,,category:Inspection,en,HDMI Box,,approved
QYSEA · FIFISH Add-Ons,hdmi-box,,category:Inspection,zh,HDMI盒子,,approved
QYSEA · FIFISH Add-Ons,hdmi-box,,category:Inspection,ja,HDMIボックス,,approved
QYSEA · FIFISH Add-Ons,hdmi-box,,category:Inspection,es,Caja HDMI,,approved
QYSEA · FIFISH Add-Ons,hdmi-box,,category:Inspection,ko,HDMI 박스,,approved
QYSEA · FIFISH Add-Ons,hdmi-box,,category:Inspection,ru,HDMI коробка,,approved
QYSEA · FIFISH Add-Ons,edgebox-remote-control-system,,category:Inspection,en,EDGEBOX Remote Control System,,approved
QYSEA · FIFISH Add-Ons,edgebox-remote-control-system,,category:Inspection,zh,远程控制系统 (EDGE BOX),,approved
QYSEA · FIFISH Add-Ons,edgebox-remote-control-system,,category:Inspection,ja,遠隔操作ツール (EDGE BOX),,approved
QYSEA · FIFISH Add-Ons,edgebox-remote-control-system,,category:Inspection,es,Sistema de control remoto EDGEBOX,,approved
QYSEA · FIFISH Add-Ons,edgebox-remote-control-system,,category:Inspection,ko,EDGEBOX 원격 제어 시스템,,approved
QYSEA · FIFISH Add-Ons,edgebox-remote-control-system,,category:Inspection,ru,Система дистанционного управления EDGEBOX,,approved
QYSEA · FIFISH Add-Ons,waterproof-tablet-controller,,category:Inspection,en,Waterproof Tablet Controller,,approved
QYSEA · FIFISH Add-Ons,waterproof-tablet-controller,,category:Inspection,zh,三防带屏遥控器,,approved
QYSEA · FIFISH Add-Ons,waterproof-tablet-controller,,category:Inspection,ja,高輝度モニター付きコントローラー,,approved
QYSEA · FIFISH Add-Ons,waterproof-tablet-controller,,category:Inspection,es,Controlador de tableta impermeable,,approved
QYSEA · FIFISH Add-Ons,waterproof-tablet-controller,,category:Inspection,ko,방수 태블릿 컨트롤러,,approved
QYSEA · FIFISH Add-Ons,waterproof-tablet-controller,,category:Inspection,ru,Водонепроницаемый планшетный компьютер,,approved
QYSEA · FIFISH Add-Ons,waterproof-pc,,category:Inspection,en,Waterproof PC,,approved
QYSEA · FIFISH Add-Ons,waterproof-pc,,category:Inspection,zh,三防电脑,,approved
QYSEA · FIFISH Add-Ons,waterproof-pc,,category:Inspection,ja,防水ラップトップコンピューター,,approved
QYSEA · FIFISH Add-Ons,waterproof-pc,,category:Inspection,es,PC impermeable,,approved
QYSEA · FIFISH Add-Ons,waterproof-pc,,category:Inspection,ko,방수 PC,,approved
QYSEA · FIFISH Add-Ons,waterproof-pc,,category:Inspection,ru,Водонепроницаемый ПК,,approved
QYSEA · FIFISH Add-Ons,explosive-gas-detector,,category:Inspection,en,Explosive Gas Detector,,approved
QYSEA · FIFISH Add-Ons,explosive-gas-detector,,category:Inspection,zh,危爆气体检测仪,,approved
QYSEA · FIFISH Add-Ons,explosive-gas-detector,,category:Inspection,ja,可燃性・爆発性ガス検知ツール,,approved
QYSEA · FIFISH Add-Ons,compass-ruler,,category:Measurement,en,Compass Ruler,,approved
QYSEA · FIFISH Add-Ons,compass-ruler,,category:Measurement,zh,圆规标尺,,approved
QYSEA · FIFISH Add-Ons,compass-ruler,,category:Measurement,ja,二重定規クリップ,,approved
QYSEA · FIFISH Add-Ons,compass-ruler,,category:Measurement,es,Regla angular,,approved
QYSEA · FIFISH Add-Ons,compass-ruler,,category:Measurement,ko,컴퍼스 룰러,,approved
QYSEA · FIFISH Add-Ons,compass-ruler,,category:Measurement,ru,Компасная линейка,,approved
QYSEA · FIFISH Add-Ons,laser-scaler,,category:Measurement,en,Laser Scaler,,approved
QYSEA · FIFISH Add-Ons,laser-scaler,,category:Measurement,zh,激光标尺,,approved
QYSEA · FIFISH Add-Ons,laser-scaler,,category:Measurement,ja,レーザースケーラー,,approved
QYSEA · FIFISH Add-Ons,laser-scaler,,category:Measurement,es,Escalador láser,,approved
QYSEA · FIFISH Add-Ons,laser-scaler,,category:Measurement,ko,레이저 스케일러,,approved
QYSEA · FIFISH Add-Ons,laser-scaler,,category:Measurement,ru,Лазерный измеритель,,approved
QYSEA · FIFISH Add-Ons,ar-ruler,,category:Measurement,en,AR Ruler,,approved
QYSEA · FIFISH Add-Ons,ar-ruler,,category:Measurement,zh,AR标尺,,approved
QYSEA · FIFISH Add-Ons,ar-ruler,,category:Measurement,ja,AR定規,,approved
QYSEA · FIFISH Add-Ons,ar-ruler,,category:Measurement,es,Regla AR,,approved
QYSEA · FIFISH Add-Ons,ar-ruler,,category:Measurement,ko,AR 눈금자,,approved
QYSEA · FIFISH Add-Ons,ar-ruler,,category:Measurement,ru,"Измеритель расстояний и размеров объектов, использующий технологию дополненной реальности",,approved
QYSEA · FIFISH Add-Ons,distance-meter,,category:Measurement,en,Distance Meter,,approved
QYSEA · FIFISH Add-Ons,distance-meter,,category:Measurement,zh,前向单波束声呐,,approved
QYSEA · FIFISH Add-Ons,distance-meter,,category:Measurement,ja,距離ロックソナー,,approved
QYSEA · FIFISH Add-Ons,distance-meter,,category:Measurement,es,Medidor de distancia,,approved
QYSEA · FIFISH Add-Ons,distance-meter,,category:Measurement,ko,거리 측정기,,approved
QYSEA · FIFISH Add-Ons,distance-meter,,category:Measurement,ru,Дальномер,,approved
QYSEA · FIFISH Add-Ons,altimeter,,category:Measurement,en,Altimeter,,approved
QYSEA · FIFISH Add-Ons,altimeter,,category:Measurement,zh,下向单波束声呐,,approved
QYSEA · FIFISH Add-Ons,altimeter,,category:Measurement,ja,高さロックソナー,,approved
QYSEA · FIFISH Add-Ons,altimeter,,category:Measurement,es,Altímetro,,approved
QYSEA · FIFISH Add-Ons,altimeter,,category:Measurement,ko,고도계,,approved
QYSEA · FIFISH Add-Ons,altimeter,,category:Measurement,ru,Альтиметр (высотомер),,approved
QYSEA · FIFISH Add-Ons,forward-inline-q-dvl-with-laser-scaler,,category:Measurement,en,Forward Inline Q-DVL (with Laser Scaler),,approved
QYSEA · FIFISH Add-Ons,forward-inline-q-dvl-with-laser-scaler,,category:Measurement,zh,前向线型Q-DVL (含双激光),,approved
QYSEA · FIFISH Add-Ons,4d-distance-lock-module,,category:Measurement,en,4D Distance Lock Module,,approved
QYSEA · FIFISH Add-Ons,4d-distance-lock-module,,category:Measurement,zh,自动距离锁定,,approved
QYSEA · FIFISH Add-Ons,4d-distance-lock-module,,category:Measurement,ja,4D 距離ロックモジュール,,approved
QYSEA · FIFISH Add-Ons,4d-distance-lock-module,,category:Measurement,es,Módulo de bloqueo de distancia 4D,,approved
QYSEA · FIFISH Add-Ons,4d-distance-lock-module,,category:Measurement,ko,4D 거리 잠금 모듈,,approved
QYSEA · FIFISH Add-Ons,4d-distance-lock-module,,category:Measurement,ru,Модуль дистанционной блокировки 4D,,approved
QYSEA · FIFISH Add-Ons,ultrasonic-metal-thickness-gauge-utg,,category:Measurement,en,Ultrasonic Metal Thickness Gauge (UTG),,approved
QYSEA · FIFISH Add-Ons,ultrasonic-metal-thickness-gauge-utg,,category:Measurement,zh,金属测厚仪,,approved
QYSEA · FIFISH Add-Ons,ultrasonic-metal-thickness-gauge-utg,,category:Measurement,ja,"超音波肉厚測定計
（UTG）",,approved
QYSEA · FIFISH Add-Ons,ultrasonic-metal-thickness-gauge-utg,,category:Measurement,es,Medidor de espesor de metales por ultrasonido,,approved
QYSEA · FIFISH Add-Ons,ultrasonic-metal-thickness-gauge-utg,,category:Measurement,ko,초음파 금속 두께 측정기,,approved
QYSEA · FIFISH Add-Ons,ultrasonic-metal-thickness-gauge-utg,,category:Measurement,ru,Ультразвуковой измеритель толщины металла,,approved
QYSEA · FIFISH Add-Ons,cathodic-protection-cp-tool,,category:Measurement,en,Cathodic Protection (CP) Tool,,approved
QYSEA · FIFISH Add-Ons,cathodic-protection-cp-tool,,category:Measurement,zh,阴极保护工具,,approved
QYSEA · FIFISH Add-Ons,cathodic-protection-cp-tool,,category:Measurement,ja,陰極防食（CP）ツール,,approved
QYSEA · FIFISH Add-Ons,cathodic-protection-cp-tool,,category:Measurement,es,Herramienta de protección catódica,,approved
QYSEA · FIFISH Add-Ons,cathodic-protection-cp-tool,,category:Measurement,ko,음극 보호 도구,,approved
QYSEA · FIFISH Add-Ons,cathodic-protection-cp-tool,,category:Measurement,ru,Инструмент для катодной защиты,,approved
QYSEA · FIFISH Add-Ons,q-dvl,,category:Navigation Add-Ons,en,Q-DVL,,approved
QYSEA · FIFISH Add-Ons,q-dvl,,category:Navigation Add-Ons,zh,Q-DVL,,approved
QYSEA · FIFISH Add-Ons,q-dvl,,category:Navigation Add-Ons,ja,Q-DVL,,approved
QYSEA · FIFISH Add-Ons,q-dvl,,category:Navigation Add-Ons,es,Q-DVL,,approved
QYSEA · FIFISH Add-Ons,q-dvl,,category:Navigation Add-Ons,ko,Q-DVL,,approved
QYSEA · FIFISH Add-Ons,q-dvl,,category:Navigation Add-Ons,ru,Модуль блокировки станции,,approved
QYSEA · FIFISH Add-Ons,forward-inline-q-dvl,,category:Navigation Add-Ons,en,Forward Inline Q-DVL,,approved
QYSEA · FIFISH Add-Ons,forward-inline-q-dvl,,category:Navigation Add-Ons,zh,前向线型Q-DVL,,approved
QYSEA · FIFISH Add-Ons,forward-inline-q-dvl,,category:Navigation Add-Ons,ja,前方 Q‑DVL,,approved
QYSEA · FIFISH Add-Ons,forward-inline-q-dvl,,category:Navigation Add-Ons,es,Q-DVL en línea frontal,,approved
QYSEA · FIFISH Add-Ons,forward-inline-q-dvl-with-laser-scaler,,category:Navigation Add-Ons,en,Forward Inline Q-DVL (with Laser Scaler),,approved
QYSEA · FIFISH Add-Ons,forward-inline-q-dvl-with-laser-scaler,,category:Navigation Add-Ons,zh,前向线型Q-DVL（含双激光）,,approved
QYSEA · FIFISH Add-Ons,forward-inline-q-dvl-with-laser-scaler,,category:Navigation Add-Ons,es,Q-DVL en línea frontal (con Laser Escalador),,approved
QYSEA · FIFISH Add-Ons,q-dvl-pius,,category:Navigation Add-Ons,en,Q-DVL PIus,,approved
QYSEA · FIFISH Add-Ons,q-dvl-pius,,category:Navigation Add-Ons,zh,Q-DVL PIus,,approved
QYSEA · FIFISH Add-Ons,q-dvl-pius,,category:Navigation Add-Ons,ja,Q-DVL PIus,,approved
QYSEA · FIFISH Add-Ons,q-dvl-pius,,category:Navigation Add-Ons,es,Q-DVL PIus,,approved
QYSEA · FIFISH Add-Ons,q-dvl-pius,,category:Navigation Add-Ons,ko,Q-DVL PIus,,approved
QYSEA · FIFISH Add-Ons,q-dvl-max,,category:Navigation Add-Ons,en,Q-DVL Max,,approved
QYSEA · FIFISH Add-Ons,q-dvl-max,,category:Navigation Add-Ons,zh,Q-DVL Max,,approved
QYSEA · FIFISH Add-Ons,q-dvl-max,,category:Navigation Add-Ons,ja,Q-DVL Max,,approved
QYSEA · FIFISH Add-Ons,q-dvl-max,,category:Navigation Add-Ons,es,Q-DVL Max,,approved
QYSEA · FIFISH Add-Ons,q-dvl-max,,category:Navigation Add-Ons,ko,Q-DVL Max,,approved
QYSEA · FIFISH Add-Ons,tri-directional-inline-q-dvl,,category:Navigation Add-Ons,en,Tri-directional Inline Q-DVL,,approved
QYSEA · FIFISH Add-Ons,tri-directional-inline-q-dvl,,category:Navigation Add-Ons,zh,三向Q-DVL,,approved
QYSEA · FIFISH Add-Ons,tri-directional-inline-q-dvl,,category:Navigation Add-Ons,es,Q-DVL en línea tridireccional,,approved
QYSEA · FIFISH Add-Ons,u-qps2-underwater-quick-positioning-system,,category:Navigation Add-Ons,en,U-QPS2 (Underwater Quick Positioning System),,approved
QYSEA · FIFISH Add-Ons,u-qps2-underwater-quick-positioning-system,,category:Navigation Add-Ons,zh,水下定位系统 U-QPS 2.0,,approved
QYSEA · FIFISH Add-Ons,u-qps2-underwater-quick-positioning-system,,category:Navigation Add-Ons,ja,水中測位システム,,approved
QYSEA · FIFISH Add-Ons,u-qps2-underwater-quick-positioning-system,,category:Navigation Add-Ons,es,Sistema de posicionamiento rápido submarino U-QPS 2.0,,approved
QYSEA · FIFISH Add-Ons,u-qps2-underwater-quick-positioning-system,,category:Navigation Add-Ons,ko,수중 신속 위치 시스템 U-QPS 2.0,,approved
QYSEA · FIFISH Add-Ons,u-qps2-underwater-quick-positioning-system,,category:Navigation Add-Ons,ru,Cистема быстрого подводного позиционирования,,approved
QYSEA · FIFISH Add-Ons,robotic-arm-2-finger-3-finger,,category:Manipulator,en,Robotic Arm (2-Finger/ 3-Finger),,approved
QYSEA · FIFISH Add-Ons,robotic-arm-2-finger-3-finger,,category:Manipulator,zh,机械爪 (两/三爪),,approved
QYSEA · FIFISH Add-Ons,robotic-arm-2-finger-3-finger,,category:Manipulator,ja,ロボットアーム (2本/3本),,approved
QYSEA · FIFISH Add-Ons,robotic-arm-2-finger-3-finger,,category:Manipulator,es,Brazo robótico (2 dedos/ 3 dedos),,approved
QYSEA · FIFISH Add-Ons,robotic-arm-2-finger-3-finger,,category:Manipulator,ko,로봇 팔 (2핑거/ 3핑거),,approved
QYSEA · FIFISH Add-Ons,robotic-arm-2-finger-3-finger,,category:Manipulator,ru,Роботизированная рука (2-пальцевая/3-пальцевая),,approved
QYSEA · FIFISH Add-Ons,retrieval-hook,,category:Manipulator,en,Retrieval Hook,,approved
QYSEA · FIFISH Add-Ons,retrieval-hook,,category:Manipulator,zh,打捞锁扣,,approved
QYSEA · FIFISH Add-Ons,retrieval-hook,,category:Manipulator,ja,カラビナフック,,approved
QYSEA · FIFISH Add-Ons,retrieval-hook,,category:Manipulator,es,Gancho de recuperación,,approved
QYSEA · FIFISH Add-Ons,retrieval-hook,,category:Manipulator,ko,회수용 후크,,approved
QYSEA · FIFISH Add-Ons,retrieval-hook,,category:Manipulator,ru,Крюк для извлечения,,approved
QYSEA · FIFISH Add-Ons,underwater-dozer,,category:Manipulator,en,Underwater Dozer,,approved
QYSEA · FIFISH Add-Ons,underwater-dozer,,category:Manipulator,zh,推鱼器,,approved
QYSEA · FIFISH Add-Ons,underwater-dozer,,category:Manipulator,ja,水中ドーザー,,approved
QYSEA · FIFISH Add-Ons,underwater-dozer,,category:Manipulator,es,Empujador submarino,,approved
QYSEA · FIFISH Add-Ons,underwater-dozer,,category:Manipulator,ko,수중 도저,,approved
QYSEA · FIFISH Add-Ons,underwater-dozer,,category:Manipulator,ru,Насадка ковш,,approved
QYSEA · FIFISH Add-Ons,fishing-net,,category:Manipulator,en,Fishing Net,,approved
QYSEA · FIFISH Add-Ons,fishing-net,,category:Manipulator,zh,捕鱼网,,approved
QYSEA · FIFISH Add-Ons,fishing-net,,category:Manipulator,ja,たも網,,approved
QYSEA · FIFISH Add-Ons,fishing-net,,category:Manipulator,es,Red de pesca,,approved
QYSEA · FIFISH Add-Ons,fishing-net,,category:Manipulator,ko,어망,,approved
QYSEA · FIFISH Add-Ons,fishing-net,,category:Manipulator,ru,Насадка сачок,,approved
QYSEA · FIFISH Add-Ons,net-patch-kit,,category:Manipulator,en,Net Patch Kit,,approved
QYSEA · FIFISH Add-Ons,net-patch-kit,,category:Manipulator,zh,补网器,,approved
QYSEA · FIFISH Add-Ons,net-patch-kit,,category:Manipulator,ja,ネットパッチキット,,approved
QYSEA · FIFISH Add-Ons,net-patch-kit,,category:Manipulator,es,Kit de reparación de redes,,approved
QYSEA · FIFISH Add-Ons,net-patch-kit,,category:Manipulator,ko,그물 패치 키트,,approved
QYSEA · FIFISH Add-Ons,net-patch-kit,,category:Manipulator,ru,Набор для ремонта сачка,,approved
QYSEA · FIFISH Add-Ons,100ml-500ml-water-sampler,,category:Quality Sampling,en,100mL/500mL Water Sampler,,approved
QYSEA · FIFISH Add-Ons,100ml-500ml-water-sampler,,category:Quality Sampling,zh,水质取样器 (100毫升/500毫升),,approved
QYSEA · FIFISH Add-Ons,100ml-500ml-water-sampler,,category:Quality Sampling,ja,ウォーターサンプラー (100mL/500mL),,approved
QYSEA · FIFISH Add-Ons,100ml-500ml-water-sampler,,category:Quality Sampling,es,Muestreador de agua de 100mL/500mL,,approved
QYSEA · FIFISH Add-Ons,100ml-500ml-water-sampler,,category:Quality Sampling,ko,100mL/500mL 수질 샘플러,,approved
QYSEA · FIFISH Add-Ons,100ml-500ml-water-sampler,,category:Quality Sampling,ru,Пробоотборник воды 100 мл/500 мл,,approved
QYSEA · FIFISH Add-Ons,mud-sampler,,category:Quality Sampling,en,Mud Sampler,,approved
QYSEA · FIFISH Add-Ons,mud-sampler,,category:Quality Sampling,zh,取淤泥器,,approved
QYSEA · FIFISH Add-Ons,mud-sampler,,category:Quality Sampling,ja,マッドサンプラー,,approved
QYSEA · FIFISH Add-Ons,mud-sampler,,category:Quality Sampling,es,Muestreador de lodo,,approved
QYSEA · FIFISH Add-Ons,mud-sampler,,category:Quality Sampling,ko,진흙 샘플러,,approved
QYSEA · FIFISH Add-Ons,mud-sampler,,category:Quality Sampling,ru,Пробоотборник ила,,approved
QYSEA · FIFISH Add-Ons,dissolved-oxygen-sensor,,category:Quality Sampling,en,Dissolved Oxygen Sensor,,approved
QYSEA · FIFISH Add-Ons,dissolved-oxygen-sensor,,category:Quality Sampling,zh,溶解氧传感器,,approved
QYSEA · FIFISH Add-Ons,dissolved-oxygen-sensor,,category:Quality Sampling,ja,溶存酸素センサー,,approved
QYSEA · FIFISH Add-Ons,dissolved-oxygen-sensor,,category:Quality Sampling,es,Sensor de oxígeno disuelto,,approved
QYSEA · FIFISH Add-Ons,dissolved-oxygen-sensor,,category:Quality Sampling,ko,용존 산소 센서,,approved
QYSEA · FIFISH Add-Ons,dissolved-oxygen-sensor,,category:Quality Sampling,ru,Датчик растворенного кислорода,,approved
QYSEA · FIFISH Add-Ons,salinity-sensor,,category:Quality Sampling,en,Salinity Sensor,,approved
QYSEA · FIFISH Add-Ons,salinity-sensor,,category:Quality Sampling,zh,盐度传感器,,approved
QYSEA · FIFISH Add-Ons,salinity-sensor,,category:Quality Sampling,ja,塩分センサー,,approved
QYSEA · FIFISH Add-Ons,salinity-sensor,,category:Quality Sampling,es,Sensor de salinidad,,approved
QYSEA · FIFISH Add-Ons,salinity-sensor,,category:Quality Sampling,ko,염도 센서,,approved
QYSEA · FIFISH Add-Ons,salinity-sensor,,category:Quality Sampling,ru,Датчик солености,,approved
QYSEA · FIFISH Add-Ons,turbidity-sensor,,category:Quality Sampling,en,Turbidity Sensor,,approved
QYSEA · FIFISH Add-Ons,turbidity-sensor,,category:Quality Sampling,zh,浊度传感器,,approved
QYSEA · FIFISH Add-Ons,turbidity-sensor,,category:Quality Sampling,ja,濁度センサー,,approved
QYSEA · FIFISH Add-Ons,turbidity-sensor,,category:Quality Sampling,es,Sensor de turbidez,,approved
QYSEA · FIFISH Add-Ons,turbidity-sensor,,category:Quality Sampling,ko,탁도 센서,,approved
QYSEA · FIFISH Add-Ons,turbidity-sensor,,category:Quality Sampling,ru,Датчик мутности,,approved
QYSEA · FIFISH Add-Ons,ph-sensor,,category:Quality Sampling,en,pH Sensor,,approved
QYSEA · FIFISH Add-Ons,ph-sensor,,category:Quality Sampling,zh,pH值传感器,,approved
QYSEA · FIFISH Add-Ons,ph-sensor,,category:Quality Sampling,ja,pHセンサー,,approved
QYSEA · FIFISH Add-Ons,ph-sensor,,category:Quality Sampling,es,Sensor de pH,,approved
QYSEA · FIFISH Add-Ons,ph-sensor,,category:Quality Sampling,ko,pH 센서,,approved
QYSEA · FIFISH Add-Ons,ph-sensor,,category:Quality Sampling,ru,pH-датчик,,approved
QYSEA · FIFISH Add-Ons,4-in-1-quality-sensor,,category:Quality Sampling,en,4-in-1 Quality Sensor,,approved
QYSEA · FIFISH Add-Ons,4-in-1-quality-sensor,,category:Quality Sampling,zh,水质传感器 (4合1),,approved
QYSEA · FIFISH Add-Ons,4-in-1-quality-sensor,,category:Quality Sampling,ja,4-in-1水質センサー,,approved
QYSEA · FIFISH Add-Ons,4-in-1-quality-sensor,,category:Quality Sampling,es,Sensor de calidad 4 en 1,,approved
QYSEA · FIFISH Add-Ons,4-in-1-quality-sensor,,category:Quality Sampling,ko,4-in-1 품질 센서,,approved
QYSEA · FIFISH Add-Ons,4-in-1-quality-sensor,,category:Quality Sampling,ru,Датчик качества воды 4-в-1,,approved
QYSEA · FIFISH Add-Ons,multi-parameter-quality-sensor,,category:Quality Sampling,en,Multi-parameter Quality Sensor,,approved
QYSEA · FIFISH Add-Ons,multi-parameter-quality-sensor,,category:Quality Sampling,zh,4通道取水器+蠕动泵+高速泵,,approved
QYSEA · FIFISH Add-Ons,multi-parameter-quality-sensor,,category:Quality Sampling,ja,マルチパラメータ水質センサー,,approved
QYSEA · FIFISH Add-Ons,multi-parameter-quality-sensor,,category:Quality Sampling,es,Sensor de calidad multiparámetro,,approved
QYSEA · FIFISH Add-Ons,multi-parameter-quality-sensor,,category:Quality Sampling,ko,다중 매개변수 품질 센서,,approved
QYSEA · FIFISH Add-Ons,multi-parameter-quality-sensor,,category:Quality Sampling,ru,Мультипараметрический датчик качества воды,,approved
QYSEA · FIFISH Add-Ons,q-irc-qysea-industrial-remote-controller,,category:Enhancement,en,Q-iRC (QYSEA Industrial Remote Controller),,approved
QYSEA · FIFISH Add-Ons,q-irc-qysea-industrial-remote-controller,,category:Enhancement,zh,鳍源行业带屏遥控器,,approved
QYSEA · FIFISH Add-Ons,q-irc-qysea-industrial-remote-controller,,category:Enhancement,es,Control remoto industrial (Q-iRC),,approved
QYSEA · FIFISH Add-Ons,onshore-powercharge-source-system-opss,,category:Enhancement,en,Onshore PowerCharge Source System (OPSS),,approved
QYSEA · FIFISH Add-Ons,onshore-powercharge-source-system-opss,,category:Enhancement,zh,岸上供电系统 (OPSS),,approved
QYSEA · FIFISH Add-Ons,onshore-powercharge-source-system-opss,,category:Enhancement,ja,陸電供給システム (OPSS),,approved
QYSEA · FIFISH Add-Ons,onshore-powercharge-source-system-opss,,category:Enhancement,es,Sistema de alimentación en tierra (CPSS),,approved
QYSEA · FIFISH Add-Ons,onshore-powercharge-source-system-opss,,category:Enhancement,ko,육상 전력 공급 시스템 (CPSS),,approved
